payment_id,physician_id,company,drug_name,category,amount_usd,year
1,NPI1169664211,AbbVie,Rinvoq,Travel and Lodging,368.61,2023
2,NPI1169664211,Eli Lilly,Taltz,Food and Beverage,51.24,2023
3,NPI1169664211,Eli Lilly,Verzenio,Food and Beverage,13.59,2019
4,NPI5095195844,Merck,Keytruda,Food and Beverage,15.42,2023
5,NPI5095195844,Merck,Januvia,Consulting Fee,9310.42,2023
6,NPI5095195844,Amgen,Otezla,Food and Beverage,51.54,2022
7,NPI5095195844,Amgen,Repatha,Grant,328796.88,2023
8,NPI5095195844,Merck,Keytruda,Food and Beverage,26.98,2022
9,NPI5095195844,Merck,Gardasil,Food and Beverage,40.05,2023
10,NPI5095195844,Amgen,Otezla,Food and Beverage,15.44,2019
11,NPI5095195844,Merck,Januvia,Food and Beverage,40.57,2020
12,NPI5095195844,Merck,Gardasil,Food and Beverage,4.25,2020
13,NPI5095195844,Merck,Januvia,Food and Beverage,26.62,2023
14,NPI5095195844,Merck,Gardasil,Food and Beverage,5.8,2021
15,NPI5095195844,Merck,Gardasil,Consulting Fee,3142.49,2022
16,NPI5095195844,Amgen,Enbrel,Food and Beverage,43.77,2023
17,NPI6562664543,Merck,Keytruda,Speaker Fee,1378.59,2022
18,NPI2175807304,Boehringer Ingelheim,Ofev,Research,7163.09,2023
19,NPI2175807304,Boehringer Ingelheim,Ofev,Food and Beverage,22.54,2021
20,NPI2175807304,Eli Lilly,Verzenio,Speaker Fee,2294.36,2021
21,NPI2175807304,Eli Lilly,Verzenio,Food and Beverage,17.94,2020
22,NPI2175807304,Eli Lilly,Trulicity,Speaker Fee,2801.85,2021
23,NPI2175807304,Boehringer Ingelheim,Ofev,Food and Beverage,18.99,2020
24,NPI2175807304,Boehringer Ingelheim,Ofev,Food and Beverage,44.56,2022
25,NPI2175807304,Boehringer Ingelheim,Pradaxa,Consulting Fee,735.41,2022
26,NPI4577266752,Boehringer Ingelheim,Jardiance,Food and Beverage,5.93,2022
27,NPI4577266752,Boehringer Ingelheim,Ofev,Food and Beverage,110.11,2022
28,NPI4577266752,Boehringer Ingelheim,Ofev,Food and Beverage,16.4,2023
29,NPI4577266752,Johnson & Johnson,Invega,Food and Beverage,16.7,2020
30,NPI4577266752,Johnson & Johnson,Invega,Grant,58851.15,2021
31,NPI4577266752,Johnson & Johnson,Invega,Food and Beverage,10.82,2022
32,NPI4577266752,AstraZeneca,Symbicort,Research,27776.0,2023
33,NPI4577266752,Johnson & Johnson,Invega,Speaker Fee,1064.18,2023
34,NPI4577266752,Boehringer Ingelheim,Jardiance,Consulting Fee,2196.7,2019
35,NPI4577266752,AstraZeneca,Brilinta,Food and Beverage,9.67,2022
36,NPI4577266752,Johnson & Johnson,Invega,Grant,85347.19,2023
37,NPI4577266752,AstraZeneca,Farxiga,Royalty or License,9891.7,2021
38,NPI4704901255,Boehringer Ingelheim,Jardiance,Consulting Fee,1826.86,2023
39,NPI4704901255,Boehringer Ingelheim,Ofev,Food and Beverage,22.47,2019
40,NPI4704901255,Boehringer Ingelheim,Ofev,Travel and Lodging,165.21,2021
41,NPI7806764029,Amgen,Repatha,Food and Beverage,61.15,2022
42,NPI7806764029,Amgen,Repatha,Travel and Lodging,182.01,2019
43,NPI7806764029,Amgen,Otezla,Food and Beverage,14.31,2021
44,NPI7806764029,Novartis,Entresto,Food and Beverage,46.57,2019
45,NPI3892606120,Novartis,Entresto,Food and Beverage,27.56,2019
46,NPI3892606120,Novartis,Zolgensma,Travel and Lodging,540.6,2019
47,NPI3892606120,Novartis,Cosentyx,Food and Beverage,13.16,2023
48,NPI3892606120,Novartis,Cosentyx,Food and Beverage,18.9,2023
49,NPI3892606120,Novartis,Entresto,Consulting Fee,2809.9,2021
50,NPI3892606120,Novartis,Cosentyx,Consulting Fee,1090.14,2019
51,NPI3892606120,Novartis,Entresto,Education,126.73,2023
52,NPI3892606120,Novartis,Zolgensma,Food and Beverage,16.4,2022
53,NPI3892606120,Novartis,Entresto,Food and Beverage,6.17,2023
54,NPI6300885614,Novartis,Cosentyx,Food and Beverage,7.46,2019
55,NPI6300885614,Novartis,Cosentyx,Food and Beverage,4.83,2021
56,NPI6300885614,Boehringer Ingelheim,Jardiance,Speaker Fee,1588.3,2022
57,NPI6300885614,Boehringer Ingelheim,Ofev,Food and Beverage,21.12,2020
58,NPI6300885614,Novartis,Cosentyx,Food and Beverage,11.85,2021
59,NPI6300885614,Boehringer Ingelheim,Pradaxa,Food and Beverage,43.56,2022
60,NPI6300885614,Boehringer Ingelheim,Ofev,Speaker Fee,7649.1,2021
61,NPI6300885614,Novartis,Cosentyx,Consulting Fee,1891.31,2021
62,NPI6300885614,Novartis,Entresto,Consulting Fee,946.64,2023
63,NPI6300885614,Novartis,Entresto,Food and Beverage,60.57,2021
64,NPI6300885614,Novartis,Entresto,Consulting Fee,4070.24,2020
65,NPI6300885614,Boehringer Ingelheim,Jardiance,Food and Beverage,7.75,2021
66,NPI6300885614,Boehringer Ingelheim,Ofev,Food and Beverage,5.12,2023
67,NPI6300885614,Boehringer Ingelheim,Jardiance,Travel and Lodging,40.39,2021
68,NPI6300885614,Novartis,Zolgensma,Food and Beverage,81.5,2023
69,NPI6300885614,Novartis,Entresto,Food and Beverage,29.87,2020
70,NPI6300885614,Boehringer Ingelheim,Ofev,Food and Beverage,9.2,2022
71,NPI6300885614,Novartis,Zolgensma,Consulting Fee,432.94,2021
72,NPI6300885614,Boehringer Ingelheim,Pradaxa,Food and Beverage,21.67,2021
73,NPI6300885614,Novartis,Cosentyx,Food and Beverage,32.29,2022
74,NPI6300885614,Novartis,Entresto,Grant,19196.37,2019
75,NPI6300885614,Novartis,Zolgensma,Food and Beverage,50.59,2021
76,NPI6300885614,Novartis,Cosentyx,Food and Beverage,26.43,2022
77,NPI5641571628,Merck,Januvia,Speaker Fee,8260.72,2023
78,NPI5641571628,Merck,Januvia,Food and Beverage,48.11,2021
79,NPI5641571628,Merck,Januvia,Speaker Fee,1043.57,2021
80,NPI5641571628,Merck,Gardasil,Consulting Fee,742.94,2022
81,NPI2028367074,Eli Lilly,Trulicity,Food and Beverage,25.47,2023
82,NPI4880934712,Boehringer Ingelheim,Jardiance,Food and Beverage,4.33,2019
83,NPI4880934712,Boehringer Ingelheim,Jardiance,Food and Beverage,7.18,2019
84,NPI4880934712,Boehringer Ingelheim,Pradaxa,Food and Beverage,17.37,2023
85,NPI4880934712,Boehringer Ingelheim,Pradaxa,Food and Beverage,50.79,2022
86,NPI4880934712,Boehringer Ingelheim,Jardiance,Research,24454.79,2019
87,NPI4880934712,Boehringer Ingelheim,Pradaxa,Consulting Fee,969.9,2023
88,NPI7868683740,Boehringer Ingelheim,Jardiance,Food and Beverage,7.53,2021
89,NPI7868683740,Pfizer,Lyrica,Food and Beverage,69.89,2023
90,NPI7868683740,Boehringer Ingelheim,Jardiance,Food and Beverage,31.52,2023
91,NPI7868683740,Pfizer,Xeljanz,Travel and Lodging,1209.29,2021
92,NPI3207392587,Merck,Keytruda,Food and Beverage,15.67,2020
93,NPI3207392587,Amgen,Enbrel,Food and Beverage,12.18,2019
94,NPI8655057491,AbbVie,Humira,Food and Beverage,18.0,2020
95,NPI8655057491,Boehringer Ingelheim,Ofev,Speaker Fee,797.22,2023
96,NPI8655057491,AbbVie,Humira,Consulting Fee,1650.34,2022
97,NPI8655057491,AbbVie,Humira,Research,30364.26,2022
98,NPI8655057491,Boehringer Ingelheim,Pradaxa,Food and Beverage,6.4,2022
99,NPI8655057491,Boehringer Ingelheim,Pradaxa,Travel and Lodging,108.48,2020
100,NPI8655057491,Merck,Gardasil,Food and Beverage,21.48,2023
101,NPI8655057491,AbbVie,Humira,Food and Beverage,9.87,2023
102,NPI8655057491,AbbVie,Humira,Food and Beverage,32.88,2021
103,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,23.64,2022
104,NPI8655057491,Merck,Gardasil,Education,964.92,2022
105,NPI8655057491,Boehringer Ingelheim,Jardiance,Travel and Lodging,270.76,2021
106,NPI8655057491,Boehringer Ingelheim,Pradaxa,Food and Beverage,7.32,2023
107,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,70.58,2023
108,NPI8655057491,Boehringer Ingelheim,Pradaxa,Food and Beverage,20.34,2023
109,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,52.1,2023
110,NPI8655057491,AbbVie,Rinvoq,Consulting Fee,185.29,2022
111,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,58.56,2023
112,NPI8655057491,AbbVie,Rinvoq,Travel and Lodging,134.48,2022
113,NPI8655057491,AbbVie,Humira,Food and Beverage,16.45,2019
114,NPI8655057491,AbbVie,Imbruvica,Food and Beverage,30.07,2019
115,NPI8655057491,Boehringer Ingelheim,Pradaxa,Education,381.86,2021
116,NPI8655057491,AbbVie,Imbruvica,Consulting Fee,390.9,2022
117,NPI8655057491,AbbVie,Rinvoq,Speaker Fee,3622.96,2021
118,NPI8655057491,Merck,Gardasil,Food and Beverage,19.15,2023
119,NPI8655057491,Boehringer Ingelheim,Jardiance,Food and Beverage,20.09,2022
120,NPI8655057491,AbbVie,Imbruvica,Food and Beverage,24.8,2021
121,NPI8655057491,Merck,Januvia,Education,552.44,2022
122,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,34.0,2022
123,NPI8655057491,AbbVie,Humira,Grant,79550.69,2019
124,NPI8655057491,Boehringer Ingelheim,Ofev,Food and Beverage,12.45,2021
125,NPI8655057491,Merck,Gardasil,Consulting Fee,6117.78,2022
126,NPI8655057491,AbbVie,Imbruvica,Consulting Fee,2914.34,2023
127,NPI8655057491,AbbVie,Rinvoq,Food and Beverage,31.46,2021
128,NPI8655057491,AbbVie,Imbruvica,Consulting Fee,3795.81,2020
129,NPI8655057491,Merck,Gardasil,Travel and Lodging,1415.43,2022
130,NPI8655057491,Boehringer Ingelheim,Jardiance,Food and Beverage,17.58,2021
131,NPI8655057491,Merck,Gardasil,Food and Beverage,16.63,2022
132,NPI8655057491,Merck,Keytruda,Food and Beverage,19.97,2023
133,NPI8655057491,Boehringer Ingelheim,Pradaxa,Speaker Fee,13325.75,2021
134,NPI8655057491,Merck,Gardasil,Food and Beverage,15.79,2022
135,NPI8655057491,Merck,Januvia,Education,1023.4,2020
136,NPI8655057491,Boehringer Ingelheim,Ofev,Food and Beverage,74.07,2021
137,NPI8655057491,Boehringer Ingelheim,Jardiance,Food and Beverage,24.56,2019
138,NPI7517725315,Johnson & Johnson,Xarelto,Food and Beverage,7.12,2019
139,NPI7517725315,Merck,Januvia,Food and Beverage,27.9,2021
140,NPI7517725315,Merck,Gardasil,Food and Beverage,13.88,2022
141,NPI7132505817,Boehringer Ingelheim,Ofev,Grant,12569.29,2022
142,NPI7132505817,AstraZeneca,Symbicort,Food and Beverage,14.96,2022
143,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,5.36,2022
144,NPI7132505817,AstraZeneca,Symbicort,Food and Beverage,7.2,2019
145,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,58.9,2021
146,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,4.96,2020
147,NPI7132505817,AstraZeneca,Symbicort,Consulting Fee,2375.12,2023
148,NPI7132505817,Boehringer Ingelheim,Ofev,Speaker Fee,1133.53,2022
149,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,12.01,2022
150,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,22.06,2021
151,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,13.58,2022
152,NPI7132505817,Boehringer Ingelheim,Ofev,Travel and Lodging,167.42,2023
153,NPI7132505817,Boehringer Ingelheim,Pradaxa,Speaker Fee,7056.37,2021
154,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,89.53,2022
155,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,18.13,2021
156,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,22.36,2023
157,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,15.18,2023
158,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,12.48,2023
159,NPI7132505817,Boehringer Ingelheim,Pradaxa,Research,6939.71,2019
160,NPI7132505817,AstraZeneca,Brilinta,Education,147.97,2019
161,NPI7132505817,AstraZeneca,Symbicort,Food and Beverage,8.75,2021
162,NPI7132505817,Boehringer Ingelheim,Jardiance,Consulting Fee,752.69,2022
163,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,14.14,2021
164,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,21.94,2023
165,NPI7132505817,AstraZeneca,Farxiga,Food and Beverage,11.42,2022
166,NPI7132505817,Boehringer Ingelheim,Jardiance,Travel and Lodging,262.62,2022
167,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,10.4,2022
168,NPI7132505817,AstraZeneca,Symbicort,Food and Beverage,30.92,2020
169,NPI7132505817,AstraZeneca,Farxiga,Research,17218.87,2023
170,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,6.71,2022
171,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,12.03,2023
172,NPI7132505817,AstraZeneca,Farxiga,Education,762.37,2023
173,NPI7132505817,AstraZeneca,Farxiga,Food and Beverage,6.3,2021
174,NPI7132505817,AstraZeneca,Farxiga,Speaker Fee,2708.49,2021
175,NPI7132505817,AstraZeneca,Symbicort,Food and Beverage,10.76,2021
176,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,6.92,2021
177,NPI7132505817,AstraZeneca,Symbicort,Education,446.61,2019
178,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,22.04,2020
179,NPI7132505817,AstraZeneca,Farxiga,Food and Beverage,20.24,2022
180,NPI7132505817,AstraZeneca,Farxiga,Food and Beverage,11.79,2020
181,NPI7132505817,AstraZeneca,Symbicort,Consulting Fee,9416.9,2022
182,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,8.28,2022
183,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,13.54,2019
184,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,8.26,2020
185,NPI7132505817,Boehringer Ingelheim,Jardiance,Food and Beverage,28.17,2022
186,NPI7132505817,Boehringer Ingelheim,Jardiance,Grant,90615.56,2022
187,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,43.06,2021
188,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,8.23,2023
189,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,9.23,2019
190,NPI7132505817,Boehringer Ingelheim,Pradaxa,Food and Beverage,22.82,2023
191,NPI7132505817,AstraZeneca,Farxiga,Travel and Lodging,162.2,2023
192,NPI7132505817,Boehringer Ingelheim,Ofev,Education,1400.17,2022
193,NPI7132505817,Boehringer Ingelheim,Ofev,Consulting Fee,1000.04,2022
194,NPI7132505817,Boehringer Ingelheim,Ofev,Food and Beverage,19.26,2023
195,NPI7132505817,AstraZeneca,Brilinta,Food and Beverage,31.9,2022
196,NPI3109299692,AbbVie,Imbruvica,Travel and Lodging,193.6,2023
197,NPI3109299692,AbbVie,Rinvoq,Food and Beverage,8.05,2022
198,NPI5956830029,Novartis,Cosentyx,Food and Beverage,29.1,2021
199,NPI3854085956,AstraZeneca,Farxiga,Food and Beverage,30.41,2023
200,NPI6885758319,Boehringer Ingelheim,Jardiance,Food and Beverage,59.12,2022
201,NPI6885758319,Boehringer Ingelheim,Jardiance,Consulting Fee,3261.03,2022
202,NPI6885758319,Boehringer Ingelheim,Pradaxa,Research,2884.26,2023
203,NPI6885758319,Boehringer Ingelheim,Pradaxa,Consulting Fee,1505.38,2023
204,NPI5333323847,Eli Lilly,Trulicity,Food and Beverage,27.67,2019
205,NPI5333323847,Eli Lilly,Trulicity,Food and Beverage,25.34,2019
