rx_id,physician_id,drug_name,manufacturer,year,total_claims,total_day_supply,total_drug_cost_usd,received_payment,total_payment_usd
1,NPI1169664211,Verzenio,Eli Lilly,2021,29,2640,10743.769651854926,1,13.59
2,NPI1169664211,Verzenio,Eli Lilly,2022,33,2640,10964.884517335917,1,13.59
3,NPI1169664211,Verzenio,Eli Lilly,2023,27,2640,12679.468213541644,1,13.59
4,NPI1169664211,Cosentyx,Novartis,2021,72,4352,6737.78158852855,0,0.0
5,NPI1169664211,Cosentyx,Novartis,2022,60,4352,6160.045174895665,0,0.0
6,NPI1169664211,Cosentyx,Novartis,2023,77,4352,7743.775155008029,0,0.0
7,NPI1169664211,Symbicort,AstraZeneca,2021,214,5348,58620.566093498936,0,0.0
8,NPI1169664211,Symbicort,AstraZeneca,2022,216,5348,62502.028526827235,0,0.0
9,NPI1169664211,Symbicort,AstraZeneca,2023,193,5348,55948.53778178822,0,0.0
10,NPI1169664211,Repatha,Amgen,2021,89,4949,12434.404526320719,0,0.0
11,NPI1169664211,Repatha,Amgen,2022,95,4949,15611.001605527925,0,0.0
12,NPI1169664211,Repatha,Amgen,2023,91,4949,15754.518803522305,0,0.0
13,NPI1169664211,Januvia,Merck,2021,21,1160,11196.125295664588,0,0.0
14,NPI1169664211,Januvia,Merck,2022,18,1160,11916.445429150699,0,0.0
15,NPI1169664211,Januvia,Merck,2023,18,1160,10886.761079517422,0,0.0
16,NPI1169664211,Zolgensma,Novartis,2021,65,4158,43898.88648424902,0,0.0
17,NPI1169664211,Zolgensma,Novartis,2022,65,4158,44651.87803084868,0,0.0
18,NPI1169664211,Zolgensma,Novartis,2023,73,4158,40862.50056510792,0,0.0
19,NPI5095195844,Januvia,Merck,2021,91,7490,80036.96132050951,1,9377.61
20,NPI5095195844,Januvia,Merck,2022,116,7490,79301.10944485528,1,9377.61
21,NPI5095195844,Januvia,Merck,2023,94,7490,60522.070003193934,1,9377.61
22,NPI5095195844,Enbrel,Amgen,2021,49,4503,9751.840851079318,1,43.77
23,NPI5095195844,Enbrel,Amgen,2022,54,4503,11095.902944651334,1,43.77
24,NPI5095195844,Enbrel,Amgen,2023,50,4503,11558.822396448264,1,43.77
25,NPI6562664543,Pradaxa,Boehringer Ingelheim,2021,81,2920,12380.10738501746,0,0.0
26,NPI6562664543,Pradaxa,Boehringer Ingelheim,2022,65,2920,15053.902836734313,0,0.0
27,NPI6562664543,Pradaxa,Boehringer Ingelheim,2023,75,2920,14668.520844033117,0,0.0
28,NPI6562664543,Brilinta,AstraZeneca,2021,37,1720,5564.346053429949,0,0.0
29,NPI6562664543,Brilinta,AstraZeneca,2022,40,1720,5747.471435614571,0,0.0
30,NPI6562664543,Brilinta,AstraZeneca,2023,38,1720,4863.870030481109,0,0.0
31,NPI5143560283,Invega,Johnson & Johnson,2021,22,2047,19095.0503331616,0,0.0
32,NPI5143560283,Invega,Johnson & Johnson,2022,20,2047,14571.164579267039,0,0.0
33,NPI5143560283,Invega,Johnson & Johnson,2023,20,2047,19203.642384275,0,0.0
34,NPI5143560283,Cosentyx,Novartis,2021,26,2325,17266.24333430804,0,0.0
35,NPI5143560283,Cosentyx,Novartis,2022,26,2325,21434.14590692783,0,0.0
36,NPI5143560283,Cosentyx,Novartis,2023,35,2325,17579.947255227115,0,0.0
37,NPI2175807304,Verzenio,Eli Lilly,2021,124,4284,49825.51183118997,1,2312.3
38,NPI2175807304,Verzenio,Eli Lilly,2022,138,4284,44659.70288027064,1,2312.3
39,NPI2175807304,Verzenio,Eli Lilly,2023,138,4284,39817.46083152407,1,2312.3
40,NPI2175807304,Enbrel,Amgen,2021,83,3600,21337.89135929478,0,0.0
41,NPI2175807304,Enbrel,Amgen,2022,75,3600,22167.867574657925,0,0.0
42,NPI2175807304,Enbrel,Amgen,2023,70,3600,25442.736623444176,0,0.0
43,NPI2175807304,Lyrica,Pfizer,2021,89,5166,40675.77599071675,0,0.0
44,NPI2175807304,Lyrica,Pfizer,2022,71,5166,43841.5606892639,0,0.0
45,NPI2175807304,Lyrica,Pfizer,2023,72,5166,49275.91994512368,0,0.0
46,NPI2175807304,Imbruvica,AbbVie,2021,65,1220,15220.97827110338,0,0.0
47,NPI2175807304,Imbruvica,AbbVie,2022,60,1220,13381.390339118585,0,0.0
48,NPI2175807304,Imbruvica,AbbVie,2023,65,1220,15955.097669410641,0,0.0
49,NPI2175807304,Xarelto,Johnson & Johnson,2021,145,3900,16338.655392893104,0,0.0
50,NPI2175807304,Xarelto,Johnson & Johnson,2022,137,3900,13634.654661539718,0,0.0
51,NPI2175807304,Xarelto,Johnson & Johnson,2023,130,3900,13707.78022978927,0,0.0
52,NPI4577266752,Lyrica,Pfizer,2021,172,14600,55317.72293576226,0,0.0
53,NPI4577266752,Lyrica,Pfizer,2022,172,14600,53155.832430468625,0,0.0
54,NPI4577266752,Lyrica,Pfizer,2023,209,14600,54031.44908813946,0,0.0
55,NPI4577266752,Entresto,Novartis,2021,67,1512,3309.2359661553915,0,0.0
56,NPI4577266752,Entresto,Novartis,2022,64,1512,3208.206874656877,0,0.0
57,NPI4577266752,Entresto,Novartis,2023,76,1512,3618.5794882389805,0,0.0
58,NPI4577266752,Cosentyx,Novartis,2021,28,696,1413.6469559566808,0,0.0
59,NPI4577266752,Cosentyx,Novartis,2022,25,696,1347.8272103167978,0,0.0
60,NPI4577266752,Cosentyx,Novartis,2023,31,696,1304.2408507524938,0,0.0
61,NPI4704901255,Cosentyx,Novartis,2021,91,2600,24684.46535266873,0,0.0
